-11.0,121.0,-44.0,-77.0,127.0,-38.0,-17.0,54.0,125.0,-281.0
-930.0,-847.0,280.0,-892.0,-850.0,232.0,164.0,27.0,315.0,388.0
-106.0,29.0,-62.0,-71.0,-75.0,-94.0,57.0,-82.0,-36.0,-77.0
-88.0,-68.0,-64.0,-37.0,-68.0,-79.0,-82.0,-69.0,-95.0,-61.0
-17.0,-27.0,57.0,5.0,-21.0,-59.0,4.0,38.0,-48.0,23.0
-26.0,29.0,-33.0,23.0,66.0,66.0,-12.0,-4.0,19.0,-61.0
58.0,112.0,-66.0,-3.0,-71.0,0.0,-125.0,94.0,129.0,-39.0
-8.0,-71.0,-59.0,-29.0,-19.0,-17.0,-79.0,-20.0,-17.0,-12.0
-170.0,113.0,63.0,-98.0,70.0,-92.0,-400.0,74.0,-167.0,33.0
17.0,30.0,6.0,52.0,-24.0,41.0,49.0,39.0,-8.0,-44.0
-6.0,-14.0,-39.0,-32.0,-50.0,30.0,-38.0,25.0,-29.0,-30.0
-255.0,27.0,25.0,537.0,167.0,-140.0,423.0,683.0,-369.0,-51.0
-9.0,-49.0,32.0,-79.0,-46.0,-29.0,-56.0,-40.0,-65.0,-13.0
31.0,-84.0,-65.0,-100.0,27.0,-35.0,-88.0,-5.0,-31.0,-85.0
-17.0,-104.0,-21.0,-70.0,-11.0,7.0,32.0,-55.0,3.0,-32.0
-79.0,54.0,-62.0,79.0,-61.0,-90.0,-49.0,7.0,-105.0,-64.0
25.0,15.0,78.0,29.0,62.0,50.0,43.0,-7.0,43.0,52.0
11.0,-24.0,27.0,20.0,-43.0,-40.0,34.0,22.0,-30.0,-68.0
-29.0,49.0,9.0,2.0,39.0,-3.0,43.0,25.0,20.0,19.0
-232.0,-68.0,-30.0,-47.0,72.0,80.0,3.0,-4.0,102.0,37.0
37.0,342.0,-997.0,229.0,-947.0,435.0,415.0,706.0,641.0,353.0
-25.0,-35.0,36.0,-69.0,-18.0,-23.0,-81.0,-4.0,-40.0,-52.0
-6.0,-15.0,50.0,-18.0,67.0,179.0,-231.0,-191.0,70.0,50.0
39.0,-265.0,58.0,155.0,124.0,141.0,-189.0,-322.0,185.0,-184.0
-269.0,94.0,321.0,-44.0,82.0,-248.0,312.0,678.0,-732.0,867.0
4.0,-13.0,35.0,1.0,25.0,-5.0,56.0,30.0,-5.0,48.0
